rodada,time,pontos
1,Ironverdict,97.34
1,CEEC,88.52
1,Andorinha,83.16
1,Icebergteam,74.28
1,Lobonegro,68.94
1,Varelitas,55.40
2,CEEC,89.41
2,Lobonegro,84.77
2,Andorinha,73.25
2,Varelitas,69.54
2,Ironverdict,65.30
2,Icebergteam,58.91
